"Longitude","Latitude","Precipitation","Tmin","Tmax"
-0.606746,42.71173,146,8,20
0.763111,42.5981,150.899993896484,6,18
0.763111,42.5981,150.899993896484,6,18
-0.593873,42.775299,171,5,18
0.714563,42.477,136.399993896484,10,22
0.752807,42.55591,150,6,19
0.763644,42.62721,154.600006103516,5,17
0.763644,42.62721,154.600006103516,5,17
-0.606746,42.71173,146,8,20
0.714563,42.477,136.399993896484,10,22
0.714563,42.477,136.399993896484,10,22
0.763644,42.62721,154.600006103516,5,17
0.752807,42.55591,150,6,19
-0.593873,42.775299,171,5,18
0.718685,42.5058,141.399993896484,9,21
0.714563,42.477,136.399993896484,10,22
0.763644,42.62721,154.600006103516,5,17
-0.597015,42.7889,171,5,18
0.718685,42.5058,141.399993896484,9,21
0.763644,42.62721,154.600006103516,5,17
-0.593873,42.775299,171,5,18
-0.597015,42.7889,171,5,18
0.718685,42.5058,141.399993896484,9,21
0.718685,42.5058,141.399993896484,9,21
-0.589984,42.7373,146,8,20
0.755111,42.6368,154.600006103516,5,17
0.718685,42.5058,141.399993896484,9,21
0.755111,42.6368,154.600006103516,5,17
-0.589984,42.7373,146,8,20
0.752807,42.55591,150,6,19
-0.593873,42.775299,171,5,18
-0.597015,42.7889,171,5,18
0.763111,42.5981,150.899993896484,6,18
-0.589984,42.7373,146,8,20
-0.597015,42.7889,171,5,18
0.714563,42.477,136.399993896484,10,22
0.714563,42.477,136.399993896484,10,22
-0.606746,42.71173,146,8,20
0.755111,42.6368,154.600006103516,5,17
0.755111,42.6368,154.600006103516,5,17
0.763644,42.62721,154.600006103516,5,17
-0.606746,42.71173,146,8,20
0.755111,42.6368,154.600006103516,5,17
0.763644,42.62721,154.600006103516,5,17
-0.589984,42.7373,146,8,20
0.763111,42.5981,150.899993896484,6,18
0.763111,42.5981,150.899993896484,6,18
-0.606746,42.71173,146,8,20
-0.589984,42.7373,146,8,20
-0.589984,42.7373,146,8,20
0.718685,42.5058,141.399993896484,9,21
0.755111,42.6368,154.600006103516,5,17
0.718685,42.5058,141.399993896484,9,21
-0.606746,42.71173,146,8,20
-0.597015,42.7889,171,5,18
0.752807,42.55591,150,6,19
-0.606746,42.71173,146,8,20
0.752807,42.55591,150,6,19
0.763111,42.5981,150.899993896484,6,18
-0.597015,42.7889,171,5,18
0.14248,42.91491,165.800003051758,5,17
0.12692,42.91811,174.699996948242,5,17
0.18892,42.92098,162.899993896484,7,19
0.91661,42.82317,167.300003051758,5,17
0.16218,42.90711,165.800003051758,5,17
0.14248,42.91491,165.800003051758,5,17
0.93699,42.83628,151.399993896484,10,21
0.16218,42.90711,165.800003051758,5,17
0.91256,42.82719,167.300003051758,5,17
0.12692,42.91811,174.699996948242,5,17
0.13036,42.91595,165.800003051758,5,17
0.90279,42.82674,167.300003051758,5,17
0.25002,42.96319,150.5,10,21
0.18892,42.92098,162.899993896484,7,19
0.90279,42.82674,167.300003051758,5,17
0.25002,42.96319,150.5,10,21
0.91256,42.82719,167.300003051758,5,17
0.91256,42.82719,167.300003051758,5,17
0.93699,42.83628,151.399993896484,10,21
0.12692,42.91811,174.699996948242,5,17
0.19928,42.92734,162.899993896484,7,19
0.25002,42.96319,150.5,10,21
0.91661,42.82317,167.300003051758,5,17
0.91661,42.82317,167.300003051758,5,17
0.93699,42.83628,151.399993896484,10,21
0.19928,42.92734,162.899993896484,7,19
0.91256,42.82719,167.300003051758,5,17
0.14248,42.91491,165.800003051758,5,17
0.25002,42.96319,150.5,10,21
0.91661,42.82317,167.300003051758,5,17
0.18892,42.92098,162.899993896484,7,19
0.19928,42.92734,162.899993896484,7,19
0.16218,42.90711,165.800003051758,5,17
0.93699,42.83628,151.399993896484,10,21
0.91256,42.82719,167.300003051758,5,17
0.13036,42.91595,165.800003051758,5,17
0.12692,42.91811,174.699996948242,5,17
0.90279,42.82674,167.300003051758,5,17
0.16218,42.90711,165.800003051758,5,17
0.17106,42.90993,170.100006103516,5,17
0.19928,42.92734,162.899993896484,7,19
0.93699,42.83628,151.399993896484,10,21
0.25002,42.96319,150.5,10,21
0.90279,42.82674,167.300003051758,5,17
0.90279,42.82674,167.300003051758,5,17
0.18892,42.92098,162.899993896484,7,19
0.12692,42.91811,174.699996948242,5,17
