"EHI_number","sample_code","species","region","sample_type","order","sex","country","latitude","longitude","singlem_fraction","reads_post_fastp","host_reads","reads_lost_fastp_percent","metagenomic_bases","host_bases","bases_lost_fastp_percent","diversity","C","Transect","Sampling_point","Elevation","World_cover_2021_code","World_cover_2021_class","World_cover_2021_quality","Copernicus_cover_2018_code","Copernicus_cover_2018_class","Copernicus_water_2018_code","Copernicus_water_2018_class","Copernicus_tree_cover_2018_code","Copernicus_tree_cover_2018_class","Copernicus_Imperviousness_2018_code","Copernicus_Imperviousness_2018_class","Copernicus_grassland_2018_code","Copernicus_grassland_2018_class","Copernicus_forest_type_2018_code","Copernicus_forest_type_2018_class","Copernicus_dominant_leaf_type_2018_code","Copernicus_dominant_leaf_type_2018_class","Precipitation","Tmin","Tmax","Predicted_Elevation"
"EHI00088","ABK71E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.71173,-0.606746,0.6577,25127798,476216,0.025895766,3569734521,71769210,0.05888976,18.28209339,0.889279809,"Aisa","Rest",1250,10,"Tree_cover",91,24,"Coriferous_forest",1,"Permanent water",72,"72% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",NA,"Outside area",3,"Outside area",41.79999924,9,23,1250
"EHI00101","ABK73E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.71173,-0.606746,0.2142,52738086,3115932,0.0235071504312019,6923483370,451928365,0.089584351,19.16250543,0.826253102,"Aisa","Rest",1250,10,"Tree_cover",91,24,"Coriferous_forest",1,"Permanent water",72,"72% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",41.79999924,9,23,1250
"EHI00105","ABK67E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.71173,-0.606746,0.626,25188116,44588,0.0353612687154485,3639917634,5694785,0.06921742,18.82660085,0.855223801,"Aisa","Rest",1250,10,"Tree_cover",91,24,"Coriferous_forest",1,"Permanent water",72,"72% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",41.79999924,9,23,1250
"EHI00113","ABK61E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.71173,-0.606746,0.6584,65792686,4125660,0.04172552,8819435934,617092903,0.083709218,19.04529645,0.927256081,"Aisa","Rest",1250,10,"Tree_cover",91,24,"Coriferous_forest",1,"Permanent water",72,"72% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",1,"Broadleaved_forest",1,"Broadleaved trees",41.79999924,9,23,1250
"EHI00117","ABK69E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.71173,-0.606746,0.6929,61050828,2839040,0.0291387991139378,8323638751,423816725,0.072623538,18.6526257,0.926989095,"Aisa","Rest",1250,10,"Tree_cover",91,24,"Coriferous_forest",1,"Permanent water",72,"72% tree-cover density",NA,"Non-impervious areas",0,"Outside area",NA,"Outside area",3,"Outside area",41.79999924,9,23,1250
"EHI00119","ABK59E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.71173,-0.606746,0.5983,43021422,259134,0.035019168,6203871307,38727564,0.066513383,18.27926549,0.915160784,"Aisa","Rest",1250,10,"Tree_cover",91,24,"Coriferous_forest",1,"Permanent water",72,"72% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",41.79999924,9,23,1250
"EHI00126","ABK55E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.71173,-0.606746,0.5237,20064084,7104448,0.036922242,1722653615,1194652957,0.066460224,18.80313073,0.765958412,"Aisa","Rest",1250,10,"Tree_cover",91,24,"Coriferous_forest",1,"Permanent water",72,"72% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",41.79999924,9,23,1250
"EHI00076","ABI40E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.7889,-0.597015,0.6158,37084126,540936,0.0194029780496043,5256239320,81391903,0.059064557,18.85558739,0.922172899,"Aisa","Dolmen",1850,30,"Grassland",61,31,"Bare_rocks",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",51.09999847,7,21,1769.99999999995
"EHI00089","ABI56E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.7889,-0.597015,0.5958,17349180,233090,0.030412290415248,2473897563,34915171,0.065272252,16.83726015,0.875590921,"Aisa","Dolmen",1850,30,"Grassland",61,31,"Bare_rocks",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",NA,"Outside area",3,"Outside area",51.09999847,7,21,1769.99999999995
"EHI00091","ABI58E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.7889,-0.597015,0.5731,24634366,1582390,0.0302162246343938,3317973426,230039482,0.068833257,18.77625853,0.856355464,"Aisa","Dolmen",1850,30,"Grassland",61,31,"Bare_rocks",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",NA,"Outside area",3,"Outside area",51.09999847,7,21,1769.99999999995
"EHI00122","ABI42E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.7889,-0.597015,0.7259,49194748,366430,0.0232783572265879,7102101324,56247498,0.052512107,18.77346073,0.924447763,"Aisa","Dolmen",1850,30,"Grassland",61,31,"Bare_rocks",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",NA,"Outside area",3,"Outside area",51.09999847,7,21,1769.99999999995
"EHI00124","ABI44E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.7889,-0.597015,0.5893,35166396,766134,0.0223080077093507,4971985433,113171041,0.057487198,18.13521305,0.924060981,"Aisa","Dolmen",1850,30,"Grassland",61,31,"Bare_rocks",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",51.09999847,7,21,1769.99999999995
"EHI00178","ABI38E1L2I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.7889,-0.597015,0.5081,27712494,296194,0.022853715572004,3967239799,45338274,0.0567730316852276,18.96787279,0.869303966,"Aisa","Dolmen",1850,30,"Grassland",61,31,"Bare_rocks",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",51.09999847,7,21,1769.99999999995
"EHI00097","ABK46E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.775299,-0.593873,0.5921,29412092,2639232,0.053846127,3771419701,366551383,0.11257420495969,18.41187606,0.8894739,"Aisa","Bifurcation",1650,30,"Grassland",65,31,"Bare_rocks",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",1,"Broadleaved_forest",1,"Broadleaved trees",51.09999847,7,21,1769.99999999995
