user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
EHA01453_bin.10.fa	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__	ANI	N/A	GCA_020555735.1, s__Clostridium_Q symbiosum_A, 95.0, 77.9, 0.204; GCA_900547735.1, s__Clostridium_Q sp900547735, 95.0, 77.89, 0.188; GCF_000466485.1, s__Clostridium_Q symbiosum, 95.0, 77.87, 0.196; GCF_900626075.1, s__Clostridium_Q transplantifaecale, 95.0, 77.86, 0.2; GCA_018223375.1, s__Clostridium_Q sp000435655, 95.0, 77.64, 0.136; GCF_020736365.1, s__Clostridium_Q saccharolyticum_A, 95.0, 77.49, 0.112; GCA_018377235.1, s__Clostridium_Q sp018377235, 95.0, 77.45, 0.132; GCA_016302185.1, s__Clostridium_Q sp016302185, 95.0, 77.35, 0.181; GCA_944384125.1, s__Clostridium_Q sp944384125, 95.0, 77.27, 0.109; GCF_003024715.1, s__Clostridium_Q fessum, 95.0, 77.24, 0.115; GCA_910575795.1, s__Clostridium_Q sp910575795, 95.0, 77.07, 0.127; GCA_009911305.1, s__Clostridium_Q sp009911305, 95.0, 76.99, 0.137; GCA_019423835.1, s__Clostridium_Q sp019423835, 95.0, 76.84, 0.125; GCA_944381615.1, s__Clostridium_Q sp944381615, 95.0, 76.78, 0.148	90.33	11	0.94926	N/A
EHA01453_bin.100.fa	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella variigena	GCF_003610915.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella variigena	97.44	0.952	GCF_003610915.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella variigena	97.44	0.952	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_019049675.1, s__Rahnella bonaserana, 95.0, 93.95, 0.906; GCF_019049625.1, s__Rahnella ecdela, 95.0, 91.34, 0.835; GCF_003602095.1, s__Rahnella woolbedingensis, 95.0, 91.11, 0.81; GCF_003614975.1, s__Rahnella bruchi, 95.0, 90.89, 0.832; GCF_004330295.1, s__Rahnella victoriana, 95.0, 89.0, 0.847; GCF_011684115.1, s__Rahnella aceris, 95.0, 88.82, 0.825; GCF_000241955.1, s__Rahnella aquatilis, 95.0, 88.31, 0.807; GCF_019049755.1, s__Rahnella perminowiae, 95.0, 87.4, 0.722; GCF_015644585.1, s__Rahnella laticis, 95.0, 86.41, 0.8; GCF_019049655.1, s__Rahnella rivi, 95.0, 86.34, 0.788; GCF_002951615.1, s__Rahnella sp002951615, 95.0, 86.33, 0.761; GCF_002834385.1, s__Rahnella sp002834385, 95.0, 86.14, 0.788; GCF_003263515.1, s__Rahnella inusitata, 95.0, 85.31, 0.742; GCA_013457415.1, s__Rahnella sp013457415, 95.0, 85.03, 0.759	87.13	11	N/A	N/A
EHA01453_bin.101.fa	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	79.88	11	0.90543	N/A
EHA01453_bin.105.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	N/A	N/A	N/A	N/A	N/A	GCA_910579675.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp910579675	79.23	0.421	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_023663135.1, s__Paramuribaculum sp023663135, 95.0, 77.89, 0.276; GCA_910587425.1, s__Paramuribaculum sp910587425, 95.0, 77.37, 0.141; GCA_014801865.1, s__Paramuribaculum sp014801865, 95.0, 77.34, 0.102; GCF_003024925.1, s__Paramuribaculum intestinale, 95.0, 77.34, 0.174; GCA_014801735.1, s__Paramuribaculum sp014801735, 95.0, 77.24, 0.124; GCA_900759915.1, s__Paramuribaculum sp900759915, 95.0, 77.21, 0.197; GCA_014801655.1, s__Paramuribaculum sp014801655, 95.0, 77.12, 0.148; GCA_001689535.1, s__Paramuribaculum sp001689535, 95.0, 77.09, 0.157; GCA_014802045.1, s__Paramuribaculum sp014802045, 95.0, 77.09, 0.127; GCA_900551515.1, s__Paramuribaculum sp900551515, 95.0, 77.04, 0.174; GCA_910588065.1, s__Paramuribaculum sp910588065, 95.0, 77.03, 0.145; GCA_910587185.1, s__Paramuribaculum sp910587185, 95.0, 76.98, 0.107; GCA_003762715.1, s__Paramuribaculum sp001689565, 95.0, 76.98, 0.101; GCA_009775605.1, s__Paramuribaculum sp009775605, 95.0, 76.95, 0.165; GCA_910579185.1, s__Paramuribaculum sp910579185, 95.0, 76.87, 0.097; GCA_905193485.1, s__Paramuribaculum sp905193485, 95.0, 76.86, 0.092; GCA_900546365.1, s__Paramuribaculum sp900546365, 95.0, 76.86, 0.154; GCA_910586895.1, s__Paramuribaculum sp910586895, 95.0, 76.84, 0.121; GCA_023666835.1, s__Paramuribaculum sp023666835, 95.0, 76.78, 0.125; GCA_900759835.1, s__Paramuribaculum sp900759835, 95.0, 76.77, 0.114; GCA_023663805.1, s__Paramuribaculum sp023663805, 95.0, 76.73, 0.121; GCA_910578805.1, s__Paramuribaculum sp910578805, 95.0, 76.69, 0.113; GCA_017620715.1, s__Paramuribaculum sp017620715, 95.0, 76.62, 0.129; GCA_910577465.1, s__Paramuribaculum sp910577465, 95.0, 76.57, 0.091; GCA_020859845.1, s__Paramuribaculum sp020859845, 95.0, 76.55, 0.158; GCA_001701115.1, s__Paramuribaculum sp001701115, 95.0, 76.54, 0.067; GCA_017621225.1, s__Paramuribaculum sp017621225, 95.0, 76.52, 0.09; GCA_910586475.1, s__Paramuribaculum sp910586475, 95.0, 76.38, 0.082; GCA_022511125.1, s__Paramuribaculum sp022511125, 95.0, 76.35, 0.05; GCA_023666885.1, s__Paramuribaculum sp023666885, 95.0, 76.35, 0.093; GCA_023666905.1, s__Paramuribaculum sp023666905, 95.0, 76.32, 0.092; GCA_910578305.1, s__Paramuribaculum sp910578305, 95.0, 76.31, 0.097; GCA_910589095.1, s__Paramuribaculum sp910589095, 95.0, 76.31, 0.064; GCA_014801065.1, s__Paramuribaculum sp014801065, 95.0, 76.3, 0.112; GCA_900760855.1, s__Paramuribaculum sp900760855, 95.0, 76.25, 0.048; GCA_000431155.1, s__Paramuribaculum sp000431155, 95.0, 76.1, 0.06; GCA_014800945.1, s__Paramuribaculum sp014800945, 95.0, 75.66, 0.059	69.87	11	0.97831	N/A
EHA01453_bin.106.fa	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Coprobacillus;s__	N/A	N/A	N/A	N/A	N/A	GCF_009767585.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Coprobacillus;s__Coprobacillus cateniformis	80.93	0.482	d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	92.0	11	0.97451	N/A
EHA01453_bin.107.fa	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1663;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1663;s__	taxonomic classification defined by topology and ANI	N/A	GCA_934154515.1, s__UMGS1663 sp934154515, 95.0, 79.64, 0.379; GCA_022791475.1, s__UMGS1663 sp022791475, 95.0, 79.46, 0.471; GCA_900553405.1, s__UMGS1663 sp900553405, 95.0, 79.31, 0.417; GCA_022791325.1, s__UMGS1663 sp022791325, 95.0, 79.27, 0.578; GCA_900753245.1, s__UMGS1663 sp900753245, 95.0, 79.19, 0.413; GCA_934177725.1, s__UMGS1663 sp934177725, 95.0, 79.19, 0.427; GCA_934153805.1, s__UMGS1663 sp934153805, 95.0, 79.09, 0.451; GCA_934133165.1, s__UMGS1663 sp934133165, 95.0, 79.07, 0.437; GCA_012513065.1, s__UMGS1663 sp012513065, 95.0, 78.87, 0.408; GCA_934157035.1, s__UMGS1663 sp934157035, 95.0, 78.72, 0.466; GCA_900553865.1, s__UMGS1663 sp900553865, 95.0, 78.53, 0.383; GCA_017934475.1, s__UMGS1663 sp017934475, 95.0, 78.34, 0.296; GCA_944386315.1, s__UMGS1663 sp944386315, 95.0, 77.78, 0.267; GCA_944386335.1, s__UMGS1663 sp944386335, 95.0, 77.64, 0.248; GCA_944388655.1, s__UMGS1663 sp944388655, 95.0, 77.63, 0.262; GCA_944386655.1, s__UMGS1663 sp944386655, 95.0, 77.55, 0.32; GCA_944386125.1, s__UMGS1663 sp944386125, 95.0, 77.27, 0.32	52.23	11	0.94342	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
EHA01453_bin.11.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000315485.1, s__Bacteroides oleiciplenus, 95.0, 90.36, 0.817; GCA_905207245.1, s__Bacteroides sp905207245, 95.0, 89.0, 0.759; GCF_900142015.1, s__Bacteroides stercorirosoris, 95.0, 86.7, 0.713; GCA_905215555.1, s__Bacteroides sp905215555, 95.0, 85.95, 0.651; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 84.69, 0.714; GCF_020091405.1, s__Bacteroides sp900552405, 95.0, 84.64, 0.746; GCF_000172175.1, s__Bacteroides intestinalis, 95.0, 83.9, 0.713; GCF_000158035.1, s__Bacteroides cellulosilyticus, 95.0, 83.68, 0.72; GCF_003464595.1, s__Bacteroides intestinalis_A, 95.2143, 83.23, 0.692; GCF_902364365.1, s__Bacteroides sp900556215, 95.2143, 83.13, 0.718; GCA_900557355.1, s__Bacteroides sp900557355, 95.0, 83.06, 0.438; GCA_910585845.1, s__Bacteroides sp910585845, 95.0, 80.07, 0.374; GCA_002293435.1, s__Bacteroides sp002293435, 95.0, 79.39, 0.374; GCA_902388495.1, s__Bacteroides sp902388495, 95.0, 78.9, 0.296; GCA_905197435.1, s__Bacteroides sp905197435, 95.0, 78.6, 0.256; GCA_021203515.1, s__Bacteroides sp021203515, 95.0, 78.58, 0.293; GCA_025147485.1, s__Bacteroides uniformis, 95.0, 78.57, 0.312; GCA_905203765.1, s__Bacteroides sp905203765, 95.0, 78.56, 0.29; GCA_025147325.1, s__Bacteroides stercoris, 95.0, 78.52, 0.253; GCA_023458215.1, s__Bacteroides sp023458215, 95.0, 78.41, 0.273; GCF_000614125.1, s__Bacteroides rodentium, 95.0, 78.38, 0.308; GCA_905215345.1, s__Bacteroides sp905215345, 95.0, 78.36, 0.297; GCF_018390535.1, s__Bacteroides propionicigenes, 95.0, 78.3, 0.252; GCA_025146565.1, s__Bacteroides eggerthii, 95.0, 78.2, 0.248; GCF_000195635.1, s__Bacteroides fluxus, 95.0, 78.2, 0.268; GCF_004793475.1, s__Bacteroides sp002491635, 95.0, 78.18, 0.276; GCA_910578895.1, s__Bacteroides sp910578895, 95.0, 78.13, 0.229; GCA_945607605.1, s__Bacteroides sp945607605, 95.0, 78.13, 0.232; GCA_900555635.1, s__Bacteroides sp900555635, 95.0, 78.1, 0.266; GCF_900129655.1, s__Bacteroides clarus, 95.0, 78.01, 0.28; GCF_900241005.1, s__Bacteroides cutis, 95.0, 77.98, 0.244; GCF_000186225.1, s__Bacteroides helcogenes, 95.0, 77.97, 0.224; GCA_910586915.1, s__Bacteroides sp910586915, 95.0, 77.88, 0.135; GCF_002222615.2, s__Bacteroides caccae, 95.0, 77.84, 0.158; GCF_000374365.1, s__Bacteroides gallinarum, 95.0, 77.83, 0.243; GCF_903181435.1, s__Bacteroides sp900765785, 95.0, 77.83, 0.161; GCF_000210075.1, s__Bacteroides xylanisolvens, 95.0, 77.78, 0.172; GCF_024623065.1, s__Bacteroides acidifaciens, 95.0, 77.73, 0.159; GCF_001688725.2, s__Bacteroides caecimuris, 95.0, 77.73, 0.152; GCF_900155865.1, s__Bacteroides bouchesdurhonensis, 95.0, 77.71, 0.115; GCA_902362375.1, s__Bacteroides sp902362375, 95.0, 77.7, 0.179; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 77.7, 0.177; GCF_000011065.1, s__Bacteroides thetaiotaomicron, 95.0, 77.7, 0.183; GCF_012113595.1, s__Bacteroides sp012113595, 95.0, 77.68, 0.196; GCA_014385165.1, s__Bacteroides sp014385165, 95.0, 77.64, 0.131; GCF_001314995.1, s__Bacteroides ovatus, 95.0, 77.6, 0.182; GCF_900106755.1, s__Bacteroides faecis, 95.0, 77.59, 0.175; GCF_014750685.1, s__Bacteroides sp014750685, 95.0, 77.57, 0.189; GCF_009193325.2, s__Bacteroides zhangwenhongii, 95.8579, 77.57, 0.155; GCA_900547205.1, s__Bacteroides sp900547205, 95.0, 77.56, 0.166; GCF_004342845.1, s__Bacteroides heparinolyticus, 95.0, 77.56, 0.185; GCF_014334015.1, s__Bacteroides intestinigallinarum, 95.0, 77.56, 0.182; GCF_002849695.1, s__Bacteroides fragilis_A, 95.0, 77.55, 0.162; GCF_000156195.1, s__Bacteroides finegoldii, 95.8579, 77.5, 0.151; GCF_009193295.2, s__Bacteroides luhongzhouii, 95.0, 77.49, 0.159; GCA_900766005.1, s__Bacteroides sp900766005, 95.0, 77.46, 0.114; GCF_019583405.1, s__Bacteroides fragilis_B, 95.0, 77.45, 0.152; GCA_900755095.1, s__Bacteroides sp900755095, 95.0, 77.42, 0.097; GCA_000613465.1, s__Bacteroides nordii, 95.0, 77.42, 0.166; GCF_000614145.1, s__Bacteroides faecichinchillae, 95.0, 77.37, 0.117; GCA_900761785.1, s__Bacteroides sp900761785, 95.0, 77.37, 0.156; GCF_003865075.1, s__Bacteroides faecalis, 95.0, 77.35, 0.121; GCF_000381365.1, s__Bacteroides salyersiae, 95.0, 77.32, 0.163; GCA_944322345.1, s__Bacteroides sp944322345, 95.0, 77.29, 0.082; GCF_000025985.1, s__Bacteroides fragilis, 95.0, 77.25, 0.152; GCF_002998435.1, s__Bacteroides zoogleoformans, 95.0, 77.21, 0.173; GCA_934716785.1, s__Bacteroides sp934716785, 95.0, 77.14, 0.132; GCA_900556625.1, s__Bacteroides sp900556625, 95.0, 77.09, 0.097; GCA_019416685.1, s__Bacteroides sp900762525, 95.0, 77.05, 0.171; GCA_023426145.1, s__Bacteroides sp023426145, 95.0, 77.04, 0.086; GCF_000499785.1, s__Bacteroides neonati, 95.0, 76.95, 0.101; GCA_009929715.1, s__Bacteroides sp009929715, 95.0, 76.93, 0.066; GCA_007896885.1, s__Bacteroides sp007896885, 95.0, 76.92, 0.108; GCA_022648295.1, s__Bacteroides sp022648295, 95.0, 76.89, 0.136; GCF_014196225.1, s__Bacteroides pyogenes_A, 95.0, 76.89, 0.093; GCA_900766195.1, s__Bacteroides sp900766195, 95.0, 76.79, 0.107; GCF_000517545.1, s__Bacteroides reticulotermitis, 95.0, 76.71, 0.121; GCF_000428105.1, s__Bacteroides pyogenes, 95.0, 76.67, 0.095; GCA_019412865.1, s__Bacteroides sp019412865, 95.0, 76.64, 0.107; GCA_017992695.1, s__Bacteroides sp017992695, 95.0, 76.63, 0.101; GCA_002471185.1, s__Bacteroides sp002471185, 95.0, 76.4, 0.065; GCA_002471195.1, s__Bacteroides sp002471195, 95.0, 76.17, 0.051	56.05	11	0.99461	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
EHA01453_bin.112.fa	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA3830;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	87.59	11	0.64585	N/A
EHA01453_bin.113.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis_B	GCF_019583405.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis_B	97.64	0.661	GCF_019583405.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis_B	97.64	0.661	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002849695.1, s__Bacteroides fragilis_A, 95.0, 93.22, 0.621; GCF_000025985.1, s__Bacteroides fragilis, 95.0, 90.63, 0.607; GCA_900755095.1, s__Bacteroides sp900755095, 95.0, 79.74, 0.157; GCF_001314995.1, s__Bacteroides ovatus, 95.0, 79.23, 0.238; GCF_014334015.1, s__Bacteroides intestinigallinarum, 95.0, 79.16, 0.248; GCF_000011065.1, s__Bacteroides thetaiotaomicron, 95.0, 79.11, 0.288; GCA_900547205.1, s__Bacteroides sp900547205, 95.0, 79.11, 0.232; GCF_900106755.1, s__Bacteroides faecis, 95.0, 79.1, 0.292; GCF_009193295.2, s__Bacteroides luhongzhouii, 95.0, 79.05, 0.236; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 79.03, 0.259; GCF_903181435.1, s__Bacteroides sp900765785, 95.0, 79.0, 0.24; GCF_000210075.1, s__Bacteroides xylanisolvens, 95.0, 78.96, 0.265; GCF_012113595.1, s__Bacteroides sp012113595, 95.0, 78.91, 0.257; GCA_902362375.1, s__Bacteroides sp902362375, 95.0, 78.89, 0.258; GCF_024623065.1, s__Bacteroides acidifaciens, 95.0, 78.86, 0.226; GCF_009193325.2, s__Bacteroides zhangwenhongii, 95.8579, 78.85, 0.216; GCF_014750685.1, s__Bacteroides sp014750685, 95.0, 78.82, 0.254; GCF_001688725.2, s__Bacteroides caecimuris, 95.0, 78.8, 0.224; GCF_002222615.2, s__Bacteroides caccae, 95.0, 78.79, 0.257; GCF_000614145.1, s__Bacteroides faecichinchillae, 95.0, 78.67, 0.18; GCF_000156195.1, s__Bacteroides finegoldii, 95.8579, 78.61, 0.216; GCA_000613465.1, s__Bacteroides nordii, 95.0, 78.61, 0.244; GCF_003865075.1, s__Bacteroides faecalis, 95.0, 78.6, 0.193; GCA_900556625.1, s__Bacteroides sp900556625, 95.0, 78.58, 0.145; GCF_900155865.1, s__Bacteroides bouchesdurhonensis, 95.0, 78.49, 0.19; GCA_934716785.1, s__Bacteroides sp934716785, 95.0, 78.44, 0.185; GCF_000381365.1, s__Bacteroides salyersiae, 95.0, 78.42, 0.233; GCA_019412865.1, s__Bacteroides sp019412865, 95.0, 78.42, 0.148; GCA_900761785.1, s__Bacteroides sp900761785, 95.0, 78.41, 0.222; GCA_014385165.1, s__Bacteroides sp014385165, 95.0, 78.33, 0.2; GCA_019416685.1, s__Bacteroides sp900762525, 95.0, 78.32, 0.225; GCA_910586915.1, s__Bacteroides sp910586915, 95.0, 78.26, 0.186; GCF_018390535.1, s__Bacteroides propionicigenes, 95.0, 78.07, 0.141; GCF_020091405.1, s__Bacteroides sp900552405, 95.0, 77.97, 0.169; GCA_905197435.1, s__Bacteroides sp905197435, 95.0, 77.85, 0.114; GCA_902388495.1, s__Bacteroides sp902388495, 95.0, 77.81, 0.154; GCF_003464595.1, s__Bacteroides intestinalis_A, 95.2143, 77.79, 0.168; GCF_902364365.1, s__Bacteroides sp900556215, 95.2143, 77.78, 0.173; GCF_000172175.1, s__Bacteroides intestinalis, 95.0, 77.78, 0.177; GCA_900766005.1, s__Bacteroides sp900766005, 95.0, 77.73, 0.154; GCA_025146565.1, s__Bacteroides eggerthii, 95.0, 77.72, 0.133; GCA_023426145.1, s__Bacteroides sp023426145, 95.0, 77.71, 0.139; GCF_000195635.1, s__Bacteroides fluxus, 95.0, 77.7, 0.153; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 77.69, 0.179; GCF_000315485.1, s__Bacteroides oleiciplenus, 95.0, 77.65, 0.165; GCF_014196225.1, s__Bacteroides pyogenes_A, 95.0, 77.64, 0.134; GCA_910585845.1, s__Bacteroides sp910585845, 95.0, 77.63, 0.121; GCF_900129655.1, s__Bacteroides clarus, 95.0, 77.62, 0.149; GCA_900557355.1, s__Bacteroides sp900557355, 95.0, 77.61, 0.089; GCA_905207245.1, s__Bacteroides sp905207245, 95.0, 77.61, 0.162; GCF_900241005.1, s__Bacteroides cutis, 95.0, 77.56, 0.137; GCA_900555635.1, s__Bacteroides sp900555635, 95.0, 77.53, 0.152; GCA_905215345.1, s__Bacteroides sp905215345, 95.0, 77.52, 0.15; GCF_900142015.1, s__Bacteroides stercorirosoris, 95.0, 77.51, 0.187; GCF_000499785.1, s__Bacteroides neonati, 95.0, 77.51, 0.15; GCA_910578895.1, s__Bacteroides sp910578895, 95.0, 77.5, 0.127; GCA_025147325.1, s__Bacteroides stercoris, 95.0, 77.49, 0.151; GCF_000158035.1, s__Bacteroides cellulosilyticus, 95.0, 77.48, 0.188; GCF_004793475.1, s__Bacteroides sp002491635, 95.0, 77.44, 0.148; GCF_000186225.1, s__Bacteroides helcogenes, 95.0, 77.43, 0.145; GCA_025147485.1, s__Bacteroides uniformis, 95.0, 77.43, 0.158; GCF_000614125.1, s__Bacteroides rodentium, 95.0, 77.42, 0.159; GCF_000374365.1, s__Bacteroides gallinarum, 95.0, 77.41, 0.139; GCF_000428105.1, s__Bacteroides pyogenes, 95.0, 77.4, 0.137; GCA_021203515.1, s__Bacteroides sp021203515, 95.0, 77.39, 0.156; GCA_905215555.1, s__Bacteroides sp905215555, 95.0, 77.38, 0.141; GCA_944322345.1, s__Bacteroides sp944322345, 95.0, 77.36, 0.12; GCF_004342845.1, s__Bacteroides heparinolyticus, 95.0, 77.28, 0.109; GCF_000517545.1, s__Bacteroides reticulotermitis, 95.0, 77.24, 0.156; GCA_945607605.1, s__Bacteroides sp945607605, 95.0, 77.23, 0.128; GCA_023458215.1, s__Bacteroides sp023458215, 95.0, 77.17, 0.155; GCA_905203765.1, s__Bacteroides sp905203765, 95.0, 77.15, 0.121; GCF_002998435.1, s__Bacteroides zoogleoformans, 95.0, 77.09, 0.101; GCA_002471185.1, s__Bacteroides sp002471185, 95.0, 77.04, 0.081; GCA_017992695.1, s__Bacteroides sp017992695, 95.0, 77.02, 0.126; GCA_009929715.1, s__Bacteroides sp009929715, 95.0, 76.89, 0.088; GCA_007896885.1, s__Bacteroides sp007896885, 95.0, 76.79, 0.065; GCA_022648295.1, s__Bacteroides sp022648295, 95.0, 76.75, 0.084; GCA_002293435.1, s__Bacteroides sp002293435, 95.0, 76.71, 0.123; GCA_900766195.1, s__Bacteroides sp900766195, 95.0, 76.69, 0.067; GCA_002471195.1, s__Bacteroides sp002471195, 95.0, 76.36, 0.059	44.25	11	N/A	N/A
EHA01453_bin.116.fa	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_910579745.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__MGBC114079;s__MGBC114079 sp910579745	75.48	0.11	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	85.86	11	0.77108	N/A
